"","Name","Country","Region","Winery","Rating","NumberOfRatings","Price","wine_type","Year1"
"58","Constance Madiran 2015","France","Madiran","Domaine Berthoumieu",3.8,101,9.5,"tinto","2015"
"59","Oak Cask Malbec 2019","Argentina","Mendoza","Trapiche",3.7,1010,7.36,"tinto","2019"
"60","Amancaya Malbec - Cabernet Sauvignon 2017","Argentina","Mendoza","Caro (Catena and Rothschild)",4,1010,16.8,"tinto","2017"
"61","Laccento Ruché di Castagnole Monferrato 2017","Italy","Ruchè","Montalbera",4,1012,19.9,"tinto","2017"
"62","San Leonardo 2011","Italy","Vigneti delle Dolomiti","San Leonardo",4.3,1012,48.64,"tinto","2011"
"63","Fausto Tannat 2015","Brazil","Serra Gaúcha","Pizzato",3.6,1012,11.35,"tinto","2015"
"64","Disciples 2016","United States","Napa Valley","The Crane Assembly",4.3,1014,53.61,"tinto","2016"
"65","Zinfandel 2015","United States","Mendocino County","Bonterra",3.6,1015,16.75,"tinto","2015"
"66","Margaux 2010","France","Margaux","Château Labégorce",4,1016,40.95,"tinto","2010"
"67","La Luna e i Falò Barbera d'Asti Superiore 2015","Italy","Barbera d'Asti","Vite Colte",3.8,1016,11.49,"tinto","2015"
"68","Ribera del Duero 2015","Spain","Ribera del Duero","Garmón",4.2,1017,38.8,"tinto","2015"
"69","Les Jardins Rouge 2018","France","Faugères","Saint Antonin",3.8,102,7.95,"tinto","2018"
"70","Nero d'Avola - Syrah 2018","Italy","Terre Siciliane","Roccaperciata",3.7,102,4.75,"tinto","2018"
"71","La Bienquerida 2013","Spain","Bierzo","Losada",4.1,102,35.97,"tinto","2013"
"72","Bonera 2018","Italy","Terre Siciliane","Mandrarossa",3.7,102,9.5,"tinto","2018"
"73","Noi 4 Bolgheri 2016","Italy","Bolgheri","Tenuta dei Sette Cieli",4,102,23.5,"tinto","2016"
"74","Pinot Noir 2016","New Zealand","Marlborough","Clos Henri Vineyard",3.9,102,27.78,"tinto","2016"
"75","Saint-Émilion Grand Cru 2005","France","Saint-Émilion Grand Cru","Château Grand Barrail Lamarzelle Figeac",3.9,102,39.95,"tinto","2005"
"76","Gran Selección Tempranillo 2017","Spain","Castilla","Viña San Juan",3.4,102,6.75,"tinto","2017"
"77","Syrah 2017","South Africa","Paarl","Glen Carlou",3.9,102,18.25,"tinto","2017"
"78","Zweigelt 2017","Austria","Burgenland","Judith Beck",3.9,102,10.6,"tinto","2017"
"79","Saint-Émilion Grand Cru 2015","France","Saint-Émilion Grand Cru","Château Vieux Clos St. Emilion",4.1,102,23.09,"tinto","2015"
"80","Listán Negro 2017","Spain","Lanzarote","Bermejo",3.6,102,17.95,"tinto","2017"
"81","Viile Metamorfosis Merlot 2015","Romania","Dealu Mare","Vitis Metamorfosis",3.5,102,7.5,"tinto","2015"
"82","Merlot - Cabernet Sauvignon - Petit Verdot 2014","South Africa","Walker Bay","Creation",3.9,102,12.48,"tinto","2014"
"83","Fronton 2018","France","Fronton","Château Bellevue La Forét",3.5,102,6.95,"tinto","2018"
"84","Costers Del Gravet Montsant 2013","Spain","Montsant","Capçanes",3.7,102,13.95,"tinto","2013"
"85","Merlot 2018","Italy","Terre Siciliane","Cusumano",3.4,102,7.9,"tinto","2018"
"86","Pinot Noir 2015","Austria","Burgenland","Paul Achs",3.7,102,33.05,"tinto","2015"
"87","Coume de l'Olla Rouge 2019","France","Vin de France","Matassa",4.1,102,16.96,"tinto","2019"
"88","Schwarzer 2017","Germany","Pfalz","Weingut Metzger",3.6,102,13.15,"tinto","2017"
"89","Haut-Médoc 2015","France","Haut-Médoc","Château Beaumont",3.8,1020,17.36,"tinto","2015"
"90","Bourgogne Pinot Noir (La Vignée) 2015","France","Bourgogne","Bouchard Père & Fils",3.6,1020,17.59,"tinto","2015"
"91","Pinot Noir 2017","South Africa","Hemel-en-Aarde Valley","Hamilton Russell Vineyards",4.2,1022,49.09,"tinto","2017"
"92","Zinfandel 2016","United States","California","Geyser Peak",3.7,1023,10.9,"tinto","2016"
"93","Valpolicella Ripasso Classico Superiore 2017","Italy","Valpolicella Ripasso Classico","Bolla",3.7,1024,15.5,"tinto","2017"
"94","Rosso di Montalcino 2015","Italy","Rosso di Montalcino","Castiglion del Bosco",3.9,1025,26.5,"tinto","2015"
"95","Ripanço Private Selection Alentejano 2016","Portugal","Alentejano","José Maria da Fonseca",3.7,1026,8.6,"tinto","2016"
"96","Riserva Cannonau di Sardegna 2017","Italy","Cannonau di Sardegna","Sella & Mosca",3.8,1027,10.66,"tinto","2017"
"97","60 Sessantanni Old Vines Primitivo di Manduria 2016","Italy","Primitivo di Manduria","San Marzano",4.4,1028,17.24,"tinto","2016"
"98","Kith & Kin Cabernet Sauvignon 2017","United States","Napa Valley","Round Pond Estate",4.2,1028,38.5,"tinto","2017"
"99","Zinfandel 2017","United States","California","Rombauer Vineyards",4.3,1029,34.12,"tinto","2017"
"100","Cerro Añon Rioja Gran Reserva 2011","Spain","Rioja","Bodegas Olarra",4.1,103,14.65,"tinto","2011"
"101","Bush Vine GSM (Shiraz - Grenache - Mourvedre) 2013","Australia","McLaren Vale","Geoff Merrill",4,103,14.57,"tinto","2013"
"102","Plaer Vinyes Velles 2016","Spain","Priorat","Acustic Celler",4.1,103,26.18,"tinto","2016"
"103","Cabernet - Shiraz 2016","Spain","La Mancha","Añoranza",3.4,103,3.95,"tinto","2016"
"104","Saint-Émilion Grand Cru 2014","France","Saint-Émilion Grand Cru","Château La Confession",3.9,103,26.9,"tinto","2014"
"105","Comte de Sénéjac Haut-Médoc 2011","France","Haut-Médoc","Château Sénéjac",3.7,103,16.83,"tinto","2011"
"106","Gran Masetto Teroldego 2014","Italy","Trentino","Endrizzi",4.4,103,39.9,"tinto","2014"
"107","Barolo Mariondino 2015","Italy","Barolo","Parusso",4.1,103,39.9,"tinto","2015"
"108","Crianza 2016","Spain","Rioja","Berceo",3.6,103,9.9,"tinto","2016"
